更新时间,#genre#
2024-11-09 08:02:26,url
📺央视频道,#genre#
CCTV-1,http://115.234.227.164:8808/udp/233.50.200.99:5140
CCTV-1,http://183.66.15.146:60901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV-1,http://202.100.46.58:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://171.116.226.246:8082/rtp/226.0.2.16:8040
CCTV-1,http://114.243.156.93:8888/rtp/239.3.1.129:8008
CCTV-1,http://123.56.129.203:3929/rtp/225.1.8.1:8008
CCTV-2,https://livednow.com/migu/631780532?sign=gAAAAABmxHgUnAvEb33tHD9hTm-x8LUM8wdp7UNp8vG_QGzfBRymJcJ-qRZkuO8iC9C4jvmjR4JkCfpD2ahIj6YDLYc7I9zvSFX3TfVl-AEPw3Cr4tW6jEgf_21OyqfRJVr9Ur7eHN66lC0Vkm577g_N_DMJA7tvJB1VXzu8XvvBj9PfMX661WuanhS0hudEg28SveMbwkSCb9figgsldzEbo7jwMQVZ4A%3D%3D
CCTV-2,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://118.81.107.31:9999/tsfile/live/0002_1.m3u8
CCTV-2,http://222.129.33.14:8888/rtp/239.3.1.60:8084
CCTV-2,http://123.56.129.203:3929/rtp/225.1.8.2:8084
CCTV-2,http://123.56.129.203:3929/rtp/225.1.8.102:8004
CCTV-3,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8
CCTV-3,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265003/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=no
CCTV-3,http://202.100.46.58:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://123.56.129.203:3929/rtp/225.1.8.88:8000
CCTV-3,http://123.56.129.203:3929/rtp/225.1.8.92:8000
CCTV-3,http://120.55.49.231:5795/rtp/233.50.201.196:5140
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265004
CCTV-4,http://tvbox6.icu/tv/migu.php?id=cctv4o
CCTV-4,http://123.56.129.203:3929/rtp/225.1.8.4:8092
CCTV-4,http://123.56.129.203:3929/rtp/225.1.8.104:8216
CCTV-4,http://120.55.49.231:5795/rtp/233.50.200.101:5140
CCTV-5,http://113.57.93.165:9900/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://61.136.172.236:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://123.129.70.178:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://123.56.129.203:3929/rtp/225.1.8.89:8000
CCTV-5,http://123.56.129.203:3929/rtp/225.1.8.93:8000
CCTV-5,http://120.55.49.231:5795/rtp/233.50.201.197:5140
CCTV-5+,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265016/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=no
CCTV-5+,http://123.129.70.178:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv5p
CCTV-5+,http://120.55.49.231:5795/rtp/233.50.201.220:5140
CCTV-5+,http://120.55.49.231:3095/rtp/233.50.201.220:5140
CCTV-5+,http://122.9.151.210:2224/rtp/238.255.2.185:5999
CCTV-6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0
CCTV-6,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000001737/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001737&livemode=1&stbId=no
CCTV-6,http://183.66.15.146:60901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-6,http://123.56.129.203:3929/rtp/225.1.8.84:8000
CCTV-6,http://123.56.129.203:3929/rtp/225.1.8.90:8000
CCTV-6,http://120.55.49.231:5795/rtp/233.50.201.198:5140
CCTV-7,http://124.128.73.58:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://222.243.221.54:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://123.138.22.30:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://123.56.129.203:3929/rtp/225.1.8.7:8104
CCTV-7,http://123.56.129.203:3929/rtp/225.1.8.107:8024
CCTV-7,http://120.55.49.231:5795/rtp/233.50.201.120:5140
CCTV-8,http://gslbserv.itv.cmvideo.cn/1000000005000265008/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265008&livemode=1&stbId=3
CCTV-8,http://123.182.60.29:9002/hls/8/index.m3u8
CCTV-8,http://183.66.15.146:60901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV-8,http://123.56.129.203:3929/rtp/225.1.8.85:8000
CCTV-8,http://123.56.129.203:3929/rtp/225.1.8.91:8000
CCTV-8,http://120.55.49.231:5795/rtp/233.50.201.199:5140
CCTV-9,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000014583/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=3
CCTV-9,http://39.98.201.151:9090/udp/225.1.8.109:8032
CCTV-9,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000014583/index.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=no
CCTV-9,http://123.56.129.203:3929/rtp/225.1.8.9:8112
CCTV-9,http://123.56.129.203:3929/rtp/225.1.8.109:8032
CCTV-9,http://120.55.49.231:5795/rtp/233.50.201.121:5140
CCTV-10,http://39.98.201.151:9090/udp/225.1.8.110:8228
CCTV-10,http://61.138.128.226:19901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://123.129.70.178:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://123.56.129.203:3929/rtp/225.1.8.10:8116
CCTV-10,http://123.56.129.203:3929/rtp/225.1.8.110:8228
CCTV-10,http://120.55.49.231:5795/rtp/233.50.201.122:5140
CCTV-11,http://183.66.15.146:60901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-11,http://60.12.183.46:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-11,http://123.166.61.70:8003/hls/43/index.m3u8
CCTV-11,http://123.56.129.203:3929/rtp/225.1.8.73:8120
CCTV-11,http://123.56.129.203:3929/rtp/225.1.8.111:8040
CCTV-11,http://120.55.49.231:5795/rtp/233.50.201.11:5140
CCTV-12,http://123.129.70.178:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://119.163.199.98:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://116.117.106.144:8096/tsfile/live/0012_1.m3u8
CCTV-12,http://123.56.129.203:3929/rtp/225.1.8.12:8124
CCTV-12,http://123.56.129.203:3929/rtp/225.1.8.112:8232
CCTV-12,http://120.55.49.231:5795/rtp/233.50.201.123:5140
CCTV-13,http://218.3.138.25:1111/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv13
CCTV-13,http://123.129.70.178:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://123.56.129.203:3929/rtp/225.1.8.168:8130
CCTV-13,http://123.56.129.203:3929/rtp/225.1.1.10:8128
CCTV-13,http://120.55.49.231:5795/rtp/233.50.201.246:5140
CCTV-14,http://116.117.106.144:8096/tsfile/live/0014_1.m3u8
CCTV-14,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv14
CCTV-14,http://202.100.46.58:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://123.56.129.203:3929/rtp/225.1.8.14:8132
CCTV-14,http://123.56.129.203:3929/rtp/225.1.8.114:8236
CCTV-14,http://120.55.49.231:5795/rtp/233.50.201.124:5140
CCTV-15,http://112.234.23.81:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://39.98.201.151:9090/udp/225.1.8.74:8136
CCTV-15,http://111.14.181.15:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://123.56.129.203:3929/rtp/225.1.8.74:8136
CCTV-15,http://123.56.129.203:3929/rtp/225.1.8.115:8052
CCTV-15,http://120.55.49.231:5795/rtp/233.50.201.15:5140
CCTV-16,https://api.olelive.com/dis/live/CCTV16HD/hls.m3u8
CCTV-16,http://59.173.243.210:9901/tsfile/live/1036_1.m3u8
CCTV-16,http://gslbserv.itv.cmvideo.cn/1000000006000233002/1.m3u8?channel-id=ystenlive&Contentid=1000000006000233002&livemode=1&stbId=3
CCTV-16,http://120.55.49.231:5795/rtp/233.50.201.192:5140
CCTV-16,http://122.9.151.210:2224/rtp/238.255.2.219:5999
CCTV-16,http://122.9.151.210:2676/rtp/238.255.2.219:5999
CCTV-17,http://159.75.85.63:5678/zb.php?id=douyin
CCTV-17,http://39.98.201.151:9090/udp/225.1.8.17:8144
CCTV-17,http://gslbserv.itv.cmvideo.cn/1000000005000265015/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265015&livemode=1&stbId=3
CCTV-17,http://123.56.129.203:3929/rtp/225.1.8.17:8144
CCTV-17,http://123.56.129.203:3929/rtp/225.1.8.117:8064
CCTV-17,http://120.55.49.231:5795/rtp/233.50.200.113:5140
CETV1,http://123.56.129.203:3929/rtp/225.1.8.169:4120
CETV1,http://120.55.49.231:5795/rtp/233.50.201.75:5140
CETV2,http://123.56.129.203:3929/rtp/225.1.8.193:4120
CETV4,http://123.56.129.203:3929/rtp/225.1.8.195:4120
CETV4,http://120.55.49.231:5795/rtp/233.50.200.162:5140
💰央视付费频道,#genre#
风云足球,http://58.19.38.162:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://112.234.23.81:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://tptvh.mobaibox.com/hwcdnbacksourceflag_223.110.243.229:80/PLTV/4/224/3221228668/1.m3u8?accountinfo=7Nbs4SAtmisdhfg9u9VfuRylKFo%2FsFe211XeT0tFiPe3sKM6ExysDo0g3A9CbIkx5b%2FFw3kQIXPRRrkOn3II%2B%2Fc0Ta4f4DIFOsGdGiU4JeF8fi9dPYnTHN8Os8jC4LZfFgCcgHZcoIABWGUx4GF9bqeo84KrB1TAVruJzkRIWcU%3D%3A20241026024257%2C-1%2C36.156.32.22%2C20241026024257%2CG_FENGSHANGZQ-CQ%2C1734208109853_10%3A13%3A6D%3AA1%3A26%3A38%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000019436166_0%2CEND&GuardEncType=2&servicetype=1&unionUrl=gitv%2Flive1%2FG_FENGSHANGZQ-CQ%2FG_FENGSHANGZQ-CQ&icpid=88888888&from=5&popid=5&hms_devid=6449&prioritypopid=5
世界地理,http://112.234.23.81:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
世界地理,http://tptvh.mobaibox.com/hwcdnbacksourceflag_223.110.243.200:80/PLTV/4/224/3221228680/1.m3u8?accountinfo=iqf%2B%2FzVl%2BDwUCM587YmhVxYnN9tz7M5yQyLT6YcSOlC3sKM6ExysDo0g3A9CbIkxKC%2FWpogN2oDXZwE5U7VLVlZh%2Fit2Go0ns93wVa3gyyM9IWVIwKzNTTXWP6IWBZgKFgCcgHZcoIABWGUx4GF9bqeo84KrB1TAVruJzkRIWcU%3D%3A20241026024046%2C-1%2C36.156.32.22%2C20241026024046%2CG_SHIJIEDL-CQ%2C1734227797283_6F%3A4B%3AE6%3A16%3A74%3AD4%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000019436223_0%2CEND&GuardEncType=2&servicetype=1&unionUrl=gitv%2Flive1%2FG_SHIJIEDL-CQ%2FG_SHIJIEDL-CQ&icpid=88888888&from=5&popid=5&hms_devid=123&prioritypopid=5
📡卫视频道,#genre#
